donor,model,coverage,macro_f1
3K,lr,0.18031526336024606,1.0
3K,lr,0.16032295271049596,1.0
3K,lr,0.14033064206074586,1.0
3K,lr,0.12033833141099577,1.0
3K,lr,0.10034602076124567,1.0
3K,lr,0.08035371011149559,1.0
3K,lr,0.060361399461745485,1.0
3K,lr,0.040369088811995385,1.0
3K,lr,0.020376778162245292,1.0
3K,lr,0.007304882737408689,1.0
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,1.0,0.9541599315700477
3K,xgb,0.9996155324875048,0.9543843480851895
3K,xgb,0.9988465974625144,0.9543805587854142
3K,xgb,0.9988465974625144,0.9543805587854142
3K,xgb,0.9969242599000384,0.9548051125446833
3K,xgb,0.9953863898500577,0.9544383721996464
3K,xgb,0.9934640522875817,0.9551172072896513
3K,xgb,0.9915417147251058,0.9564974186469819
3K,xgb,0.9888504421376394,0.956145603915153
3K,xgb,0.986159169550173,0.9639314789908513
3K,xgb,0.9819300269127259,0.9652717606382627
3K,xgb,0.98000768935025,0.9667515296531064
3K,xgb,0.9796232218377547,0.9675011238502418
3K,xgb,0.9773164167627836,0.9673130567439229
3K,xgb,0.972318339100346,0.9743694809337098
3K,xgb,0.9665513264129181,0.9750313653716873
3K,xgb,0.9611687812379854,0.9747329025929027
3K,xgb,0.9600153787004998,0.9747286431088131
3K,xgb,0.9530949634755863,0.9827966971770017
3K,xgb,0.9461745482506728,0.9830416294983818
3K,xgb,0.9400230680507498,0.9824732301032137
3K,xgb,0.932718185313341,0.9830134234902401
3K,xgb,0.9200307574009996,0.9834602067690099
3K,xgb,0.916955017301038,0.9834497118939078
3K,xgb,0.9000384467512496,0.9834627436765606
3K,xgb,0.8938869665513264,0.9830741091931895
3K,xgb,0.8800461361014994,0.9831974348075923
3K,xgb,0.8719723183391004,0.9840518380025463
3K,xgb,0.8600538254517494,0.9861335968140889
3K,xgb,0.8496732026143791,0.9882797092394829
3K,xgb,0.8400615148019992,0.9873045838484187
3K,xgb,0.8289119569396386,0.9930870992695937
3K,xgb,0.8200692041522492,0.9920414966640433
3K,xgb,0.8046905036524413,0.9934797291257299
3K,xgb,0.800076893502499,0.996741247453639
3K,xgb,0.780084582852749,0.9967104716436813
